SYMBOL,NAME OF COMPANY
NACLIND,Nacl Industries Ltd
NAGAFERT,Nagarjuna Fertilizers And Chemicals Ltd
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd
NAGREEKEXP,Nagreeka Exports Ltd
NAHARCAP,Nahar Capital And Financial Services Ltd
NAHARINDUS,Nahar Industrial Enterprises Ltd
NAHARPOLY,Nahar Poly Films Ltd
NAHARSPING,Nahar Spinning Mills Ltd
NAM-INDIA,Nippon Life India Asset Management Ltd
NARMADA,Narmada Agrobase Ltd
NATCAPSUQ,Natural Capsules Ltd
NATCOPHARM,Natco Pharma Ltd
NATHBIOGEN,Nath Bio-Genes (India) Ltd
NATIONALUM,National Aluminium Company Ltd
NAUKRI,Info Edge (India) Ltd
NAVA,Nava Ltd
NAVINFLUOR,Navin Fluorine International Ltd
NAVKARCORP,Navkar Corporation Ltd
NAVKARURB,Navkar Urbanstructure Ltd
NAVNETEDUL,Navneet Education Ltd
NAZARA,Nazara Technologies Ltd
NBCC,Nbcc (India) Ltd
NBIFIN,N. B. I. Industrial Finance Company Ltd
NCC,Ncc Ltd
NCLIND,Ncl Industries Ltd
NDGL,Naga Dhunseri Group Ltd
NDL,Nandan Denim Ltd
NDLVENTURE,Ndl Ventures Ltd
NDRAUTO,Ndr Auto Components Ltd
NDTV,New Delhi Television Ltd
NECCLTD,North Eastern Carrying Corporation Ltd
NECLIFE,Nectar Lifesciences Ltd
NELCAST,Nelcast Ltd
NELCO,Nelco Ltd
NEOGEN,Neogen Chemicals Ltd
NEPHROPLUS,Nephrocare Health Services Ltd
NESCO,Nesco Ltd
NESTLEIND,Nestle India Ltd
NETWEB,Netweb Technologies India Ltd
NETWORK18,Network18 Media & Investments Ltd
NEULANDLAB,Neuland Laboratories Ltd
NEWGEN,Newgen Software Technologies Ltd
NEXTMEDIA,Next Mediaworks Ltd
NFL,National Fertilizers Ltd
NGIL,Nakoda Group Of Industries Ltd
NGLFINE,Ngl Fine-Chem Ltd
NH,Narayana Hrudayalaya Ltd.
NHPC,Nhpc Ltd
NIACL,The New India Assurance Company Ltd
NIBE,Nibe Ltd
NIBL,Nrb Industrial Bearings Ltd
NIITLTD,Niit Ltd
NIITMTS,Niit Learning Systems Ltd
NILAINFRA,Nila Infrastructures Ltd
NILASPACES,Nila Spaces Ltd
NILKAMAL,Nilkamal Ltd
NINSYS,Nintec Systems Ltd
NIPPOBATRY,Indo-National Ltd
NIRAJ,Niraj Cement Structurals Ltd
NIRAJISPAT,Niraj Ispat Industries Ltd
NITCO,Nitco Ltd
NITINSPIN,Nitin Spinners Ltd
NITIRAJ,Nitiraj Engineers Ltd
NIVABUPA,Niva Bupa Health Insurance Company Ltd
NKIND,Nk Industries Ltd
NLCINDIA,Nlc India Ltd
NMDC,Nmdc Ltd
NOCIL,Nocil Ltd
NOIDATOLL,Noida Toll Bridge Company Ltd
NORBTEAEXP,Norben Tea & Exports Ltd
NORTHARC,Northern Arc Capital Ltd
NOVAAGRI,Nova Agritech Ltd
NPST,Network People Services Technologies Ltd
NRAIL,N R Agarwal Industries Ltd
NRBBEARING,Nrb Bearing Ltd
NRL,Nupur Recyclers Ltd
NSIL,Nalwa Sons Investments Ltd
NSLNISP,Nmdc Steel Ltd
NTPC,Ntpc Ltd
NTPCGREEN,Ntpc Green Energy Ltd
NUCLEUS,Nucleus Software Exports Ltd
NURECA,Nureca Ltd
NUVAMA,Nuvama Wealth Management Ltd
NUVOCO,Nuvoco Vistas Corporation Ltd
NYKAA,Fsn E-Commerce Ventures Ltd
OAL,Oriental Aromatics Ltd
OBCL,Orissa Bengal Carrier Ltd
OBEROIRLTY,Oberoi Realty Ltd
OCCLLTD,Occl Ltd
ODIGMA,Odigma Consultancy Solutions Ltd
OFSS,Oracle Financial Services Software Ltd
OIL,Oil India Ltd
OILCOUNTUB,Oil Country Tubular Ltd
OLAELEC,Ola Electric Mobility Ltd
OLECTRA,Olectra Greentech Ltd
OMAXAUTO,Omax Autos Ltd
OMAXE,Omaxe Ltd
OMFREIGHT,Om Freight Forwarders Ltd
OMINFRAL,Om Infra Ltd
OMKARCHEM,Omkar Speciality Chemicals Ltd
ONELIFECAP,Onelife Capital Advisors Ltd
ONEPOINT,One Point One Solutions Ltd
ONESOURCE,Onesource Specialty Pharma Ltd
ONGC,Oil & Natural Gas Corporation Ltd
ONMOBILE,Onmobile Global Ltd
ONWARDTEC,Onward Technologies Ltd
OPTIEMUS,Optiemus Infracom Ltd
ORBTEXP,Orbit Exports Ltd
ORCHASP,Orchasp Ltd
ORCHPHARMA,Orchid Pharma Ltd
ORICONENT,Oricon Enterprises Ltd
ORIENTALTL,Oriental Trimex Ltd
ORIENTBELL,Orient Bell Ltd
ORIENTCEM,Orient Cement Ltd
ORIENTCER,Orient Ceratech Ltd
ORIENTELEC,Orient Electric Ltd
ORIENTHOT,Oriental Hotels Ltd
ORIENTLTD,Orient Press Ltd
ORIENTPPR,Orient Paper & Industries Ltd
ORIENTTECH,Orient Technologies Ltd
ORISSAMINE,The Orissa Minerals Development Company Ltd
ORKLAINDIA,Orkla India Ltd
ORTEL,Ortel Communications Ltd
ORTINGLOBE,Ortin Global Ltd
OSIAHYPER,Osia Hyper Retail Ltd
OSWALAGRO,Oswal Agro Mills Ltd
OSWALGREEN,Oswal Greentech Ltd
OSWALPUMPS,Oswal Pumps Ltd
OSWALSEEDS,Shreeoswal Seeds And Chemicals Ltd
PACEDIGITK,Pace Digitek Ltd
PAGEIND,Page Industries Ltd
PAISALO,Paisalo Digital Ltd
PAKKA,Pakka Ltd
PALASHSECU,Palash Securities Ltd
PALREDTEC,Palred Technologies Ltd
PANACEABIO,Panacea Biotec Ltd
PANACHE,Panache Digilife Ltd
PANAMAPET,Panama Petrochem Ltd
PANSARI,Pansari Developers Ltd
PAR,Par Drugs And Chemicals Ltd
PARACABLES,Paramount Communications Ltd
PARADEEP,Paradeep Phosphates Ltd
PARAGMILK,Parag Milk Foods Ltd
PARAS,Paras Defence And Space Technologies Ltd
PARASPETRO,Paras Petrofils Ltd
PARKHOSPS,Park Medi World Ltd
PARKHOTELS,Apeejay Surrendra Park Hotels Ltd
PARSVNATH,Parsvnath Developers Ltd
PASHUPATI,Pashupati Cotspin Ltd
PASUPTAC,Pasupati Acrylon Ltd
PATANJALI,Patanjali Foods Ltd
PATELENG,Patel Engineering Ltd
PATELRMART,Patel Retail Ltd
PATINTLOG,Patel Integrated Logistics Ltd
PAUSHAKLTD,Paushak Ltd
PAVNAIND,Pavna Industries Ltd
PAYTM,One 97 Communications Ltd
PCBL,Pcbl Chemical Ltd
PCJEWELLER,Pc Jeweller Ltd
PDMJEPAPER,Pudumjee Paper Products Ltd
PDSL,Pds Ltd
PEARLPOLY,Pearl Polymers Ltd
PENIND,Pennar Industries Ltd
PENINLAND,Peninsula Land Ltd
PERSISTENT,Persistent Systems Ltd
PETRONET,Petronet Lng Ltd
PFC,Power Finance Corporation Ltd
PFIZER,Pfizer Ltd
PFOCUS,Prime Focus Ltd
PFS,Ptc India Financial Services Ltd
PGEL,Pg Electroplast Ltd
PGHH,Procter & Gamble Hygiene And Health Care Ltd
PGHL,Procter & Gamble Health Ltd
PGIL,Pearl Global Industries Ltd
PHOENIXLTD,The Phoenix Mills Ltd
PICCADIL,Piccadily Agro Industries Ltd
PIDILITIND,Pidilite Industries Ltd
PIGL,Power & Instrumentation (Gujarat) Ltd
PIIND,Pi Industries Ltd
PILANIINVS,Pilani Investment And Industries Corporation Ltd
PILITA,Pil Italica Lifestyle Ltd
PINELABS,Pine Labs Ltd
PIONEEREMB,Pioneer Embroideries Ltd
PIRAMALFIN,Piramal Finance Ltd
PITTIENG,Pitti Engineering Ltd
PIXTRANS,Pix Transmissions Ltd
PKTEA,The Peria Karamalai Tea & Produce Company Ltd
PLASTIBLEN,Plastiblends India Ltd
PLATIND,Platinum Industries Ltd
PLAZACABLE,Plaza Wires Ltd
PNB,Punjab National Bank
PNBGILTS,Pnb Gilts Ltd
PNBHOUSING,Pnb Housing Finance Ltd
PNC,Pritish Nandy Communications Ltd
PNCINFRA,Pnc Infratech Ltd
PNGJL,P N Gadgil Jewellers Ltd
POCL,Pondy Oxides & Chemicals Ltd
PODDARMENT,Poddar Pigments Ltd
POKARNA,Pokarna Ltd
POLICYBZR,Pb Fintech Ltd
POLYCAB,Polycab India Ltd
POLYMED,Poly Medicure Ltd
POLYPLEX,Polyplex Corporation Ltd
PONNIERODE,Ponni Sugars (Erode) Ltd
POONAWALLA,Poonawalla Fincorp Ltd
POWERGRID,Power Grid Corporation Of India Ltd
POWERINDIA,Hitachi Energy India Ltd
POWERMECH,Power Mech Projects Ltd
PPAP,Ppap Automotive Ltd
PPL,Prakash Pipes Ltd
PPLPHARMA,Piramal Pharma Ltd
PRABHA,Prabha Energy Ltd
PRAENG,Prajay Engineers Syndicate Ltd
PRAJIND,Praj Industries Ltd
PRAKASH,Prakash Industries Ltd
PRAKASHSTL,Prakash Steelage Ltd
PRAXIS,Praxis Home Retail Ltd
PRECAM,Precision Camshafts Ltd
PRECOT,Precot Ltd
PRECWIRE,Precision Wires India Ltd
PREMEXPLN,Premier Explosives Ltd
PREMIER,Premier Ltd
PREMIERENE,Premier Energies Ltd
PREMIERPOL,Premier Polyfilm Ltd
PRESTIGE,Prestige Estates Projects Ltd
PRICOLLTD,Pricol Ltd
PRIMESECU,Prime Securities Ltd
PRIMO,Primo Chemicals Ltd
PRINCEPIPE,Prince Pipes And Fittings Ltd
PRITI,Priti International Ltd
PRITIKAUTO,Pritika Auto Industries Ltd
PRIVISCL,Privi Speciality Chemicals Ltd
PROSTARM,Prostarm Info Systems Ltd
PROTEAN,Protean Egov Technologies Ltd
PROZONER,Prozone Realty Ltd
PRSMJOHNSN,Prism Johnson Ltd
PRUDENT,Prudent Corporate Advisory Services Ltd
PRUDMOULI,Prudential Sugar Corporation Ltd
PSB,Punjab & Sind Bank
PSPPROJECT,Psp Projects Ltd
PTC,Ptc India Ltd
PTCIL,Ptc Industries Ltd
PTL,Ptl Enterprises Ltd
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd
PURVA,Puravankara Ltd
PVP,Pvp Ventures Ltd
PVRINOX,Pvr Inox Ltd
PVSL,Popular Vehicles And Services Ltd
PWL,Physicswallah Ltd
PYRAMID,Pyramid Technoplast Ltd
QPOWER,Quality Power Electrical Equipments Ltd
QUADFUTURE,Quadrant Future Tek Ltd
QUESS,Quess Corp Ltd
QUICKHEAL,Quick Heal Technologies Ltd
RACE,Race Eco Chain Ltd
RACLGEAR,Racl Geartech Ltd
RADAAN,Radaan Mediaworks India Ltd
RADHIKAJWE,Radhika Jeweltech Ltd
RADIANTCMS,Radiant Cash Management Services Ltd
RADICO,Radico Khaitan Ltd
RADIOCITY,Music Broadcast Ltd
RAILTEL,Railtel Corporation Of India Ltd
RAIN,Rain Industries Ltd
RAINBOW,Rainbow Childrens Medicare Ltd
RAJESHEXPO,Rajesh Exports Ltd
RAJMET,Rajnandini Metal Ltd
RAJOOENG,Rajoo Engineers Ltd
RAJRATAN,Rajratan Global Wire Ltd
RAJRILTD,Raj Rayon Industries Ltd
RAJSREESUG,Rajshree Sugars & Chemicals Ltd
RAJTV,Raj Television Network Ltd
RALLIS,Rallis India Ltd
RAMANEWS,Shree Rama Newsprint Ltd
RAMAPHO,Rama Phosphates Ltd
RAMASTEEL,Rama Steel Tubes Ltd
RAMCOCEM,The Ramco Cements Ltd
RAMCOIND,Ramco Industries Ltd
RAMCOSYS,Ramco Systems Ltd
RAMKY,Ramky Infrastructure Ltd
RAMRAT,Ram Ratna Wires Ltd
RANASUG,Rana Sugars Ltd
RANEHOLDIN,Rane Holdings Ltd
RATEGAIN,Rategain Travel Technologies Ltd
RATNAMANI,Ratnamani Metals & Tubes Ltd
RATNAVEER,Ratnaveer Precision Engineering Ltd
RAYMOND,Raymond Ltd
RAYMONDLSL,Raymond Lifestyle Ltd
RAYMONDREL,Raymond Realty Ltd
RBA,Restaurant Brands Asia Ltd
RBLBANK,Rbl Bank Ltd
RBZJEWEL,Rbz Jewellers Ltd
RCF,Rashtriya Chemicals And Fertilizers Ltd
RCOM,Reliance Communications Ltd
RECLTD,Rec Ltd
REDINGTON,Redington Ltd
REDTAPE,Redtape Ltd
REFEX,Refex Industries Ltd
REGAAL,Regaal Resources Ltd
REGENCERAM,Regency Ceramics Ltd
RELAXO,Relaxo Footwears Ltd
RELCHEMQ,Reliance Chemotex Industries Ltd
RELIABLE,Reliable Data Services Ltd
RELIANCE,Reliance Industries Ltd
RELIGARE,Religare Enterprises Ltd
RELINFRA,Reliance Infrastructure Ltd
RELTD,Ravindra Energy Ltd
REMSONSIND,Remsons Industries Ltd
RENUKA,Shree Renuka Sugars Ltd
REPCOHOME,Repco Home Finance Ltd
REPL,Rudrabhishek Enterprises Ltd
REPRO,Repro India Ltd
RESPONIND,Responsive Industries Ltd
RETAIL,Jhs Svendgaard Retail Ventures Ltd
RGL,Renaissance Global Ltd
RHETAN,Rhetan Tmt Ltd
RHFL,Reliance Home Finance Ltd
RHIM,Rhi Magnesita India Ltd
RHL,Robust Hotels Ltd
RICOAUTO,Rico Auto Industries Ltd
RIIL,Reliance Industrial Infrastructure Ltd
RISHABH,Rishabh Instruments Ltd
RITCO,Ritco Logistics Ltd
RITES,Rites Ltd
RKDL,Ravi Kumar Distilleries Ltd
RKEC,Rkec Projects Ltd
RKFORGE,Ramkrishna Forgings Ltd
RKSWAMY,R K Swamy Ltd
RMDRIP,R M Drip And Sprinklers Systems Ltd
RML,Rane (Madras) Ltd
RNBDENIMS,R&B Denims Ltd
ROHLTD,Royal Orchid Hotels Ltd
ROLEXRINGS,Rolex Rings Ltd
ROLLT,Rollatainers Ltd
ROML,Raj Oil Mills Ltd
ROSSARI,Rossari Biotech Ltd
ROSSELLIND,Rossell India Ltd
ROSSTECH,Rossell Techsys Ltd
ROTO,Roto Pumps Ltd
ROUTE,Route Mobile Ltd
RPEL,Raghav Productivity Enhancers Ltd
RPGLIFE,Rpg Life Sciences Ltd
RPOWER,Reliance Power Ltd
RPPINFRA,R.P.P. Infra Projects Ltd
RPPL,Rajshree Polypack Ltd
RPSGVENT,Rpsg Ventures Ltd
RPTECH,Rashi Peripherals Ltd
RRKABEL,R R Kabel Ltd
RSSOFTWARE,R. S. Software (India) Ltd
RSWM,Rswm Ltd
RSYSTEMS,R Systems International Ltd
RTNINDIA,Rattanindia Enterprises Ltd
RTNPOWER,Rattanindia Power Ltd
RUBFILA,Rubfila International Ltd
RUBICON,Rubicon Research Ltd
RUBYMILLS,The Ruby Mills Ltd
RUCHINFRA,Ruchi Infrastructure Ltd
RUCHIRA,Ruchira Papers Ltd
RUDRA,Rudra Global Infra Products Ltd
RUPA,Rupa & Company Ltd
RUSHIL,Rushil Decor Ltd
RUSTOMJEE,Keystone Realtors Ltd
RVHL,Ravinder Heights Ltd
RVNL,Rail Vikas Nigam Ltd
RVTH,Revathi Equipment India Ltd
S&SPOWER,S&S Power Switchgears Ltd
SAATVIKGL,Saatvik Green Energy Ltd
SABEVENTS,Sab Events & Governance Now Media Ltd
SABTNL,Sri Adhikari Brothers Television Network Ltd
SADBHAV,Sadbhav Engineering Ltd
SADBHIN,Sadbhav Infrastructure Project Ltd
SADHNANIQ,Sadhana Nitrochem Ltd
SAFARI,Safari Industries (India) Ltd
SAGARDEEP,Sagardeep Alloys Ltd
SAGCEM,Sagar Cements Ltd
SAGILITY,Sagility Ltd
SAHYADRI,Sahyadri Industries Ltd
SAIL,Steel Authority Of India Ltd
SAILIFE,Sai Life Sciences Ltd
SAKAR,Sakar Healthcare Ltd
SAKHTISUG,Sakthi Sugars Ltd
SAKSOFT,Saksoft Ltd
SAKUMA,Sakuma Exports Ltd
SALASAR,Salasar Techno Engineering Ltd
SALONA,Salona Cotspin Ltd
SALSTEEL,S.A.L. Steel Ltd
SALZERELEC,Salzer Electronics Ltd
SAMBHAAV,Sambhaav Media Ltd
SAMBHV,Sambhv Steel Tubes Ltd
SAMHI,Samhi Hotels Ltd
SAMMAANCAP,Sammaan Capital Ltd
SAMPANN,Sampann Utpadan India Ltd
SANATHAN,Sanathan Textiles Ltd
SANCO,Sanco Industries Ltd
SANDESH,The Sandesh Ltd
SANDHAR,Sandhar Technologies Ltd
SANDUMA,Sandur Manganese & Iron Ores Ltd
SANGAMIND,Sangam (India) Ltd
SANGHIIND,Sanghi Industries Ltd
SANGHVIMOV,Sanghvi Movers Ltd
SANGINITA,Sanginita Chemicals Ltd
SANOFI,Sanofi India Ltd
SANOFICONR,Sanofi Consumer Healthcare India Ltd
SANSERA,Sansera Engineering Ltd
SANSTAR,Sanstar Ltd
SANWARIA,Sanwaria Consumer Ltd
SAPPHIRE,Sapphire Foods India Ltd
SARDAEN,Sarda Energy & Minerals Ltd
SAREGAMA,Saregama India Ltd
SARLAPOLY,Sarla Performance Fibers Ltd
SARVESHWAR,Sarveshwar Foods Ltd
SASKEN,Sasken Technologies Ltd
SASTASUNDR,Sastasundar Ventures Ltd
SATIA,Satia Industries Ltd
SATIN,Satin Creditcare Network Ltd
SAURASHCEM,Saurashtra Cement Ltd
SBC,Sbc Exports Ltd
SBCL,Shivalik Bimetal Controls Ltd
SBFC,Sbfc Finance Ltd
SBGLP,Suratwwala Business Group Ltd
SBICARD,Sbi Cards And Payment Services Ltd
SBILIFE,Sbi Life Insurance Company Ltd
SBIN,State Bank Of India
SCHAEFFLER,Schaeffler India Ltd
SCHAND,S Chand And Company Ltd
SCHNEIDER,Schneider Electric Infrastructure Ltd
SCI,Shipping Corporation Of India Ltd
SCILAL,Shipping Corporation Of India Land And Assets Ltd
SCODATUBES,Scoda Tubes Ltd
SCPL,Sheetal Cool Products Ltd
SDBL,Som Distilleries & Breweries Ltd
SEAMECLTD,Seamec Ltd
SECMARK,Secmark Consultancy Ltd
SECURKLOUD,Securekloud Technologies Ltd
SEJALLTD,Sejal Glass Ltd
SELMC,Sel Manufacturing Company Ltd
SEMAC,Semac Construction Ltd
SENCO,Senco Gold Ltd
SENORES,Senores Pharmaceuticals Ltd
SEPC,Sepc Ltd
SERVOTECH,Servotech Renewable Power System Ltd
SESHAPAPER,Seshasayee Paper And Boards Ltd
SETCO,Setco Automotive Ltd
SETL,Standard Engineering Technology Ltd
SETUINFRA,Setubandhan Infrastructure Ltd
SEYAIND,Seya Industries Ltd
SFL,Sheela Foam Ltd
SGFIN,Sg Finserve Ltd
SGIL,Synergy Green Industries Ltd
SGL,Stl Global Ltd
SGMART,Sg Mart Ltd
SHADOWFAX,Shadowfax Technologies Ltd
SHAH,Shah Metacorp Ltd
SHAHALLOYS,Shah Alloys Ltd
SHAILY,Shaily Engineering Plastics Ltd
SHAKTIPUMP,Shakti Pumps (India) Ltd
SHALBY,Shalby Ltd
SHALPAINTS,Shalimar Paints Ltd
SHANKARA,Shankara Building Products Ltd
SHANTI,Shanti Overseas (India) Ltd
SHANTIGEAR,Shanthi Gears Ltd
SHANTIGOLD,Shanti Gold International Ltd
SHARDACROP,Sharda Cropchem Ltd
SHARDAMOTR,Sharda Motor Industries Ltd
SHAREINDIA,Share India Securities Ltd
SHEKHAWATI,Shekhawati Industries Ltd
SHEMAROO,Shemaroo Entertainment Ltd
SHILCTECH,Shilchar Technologies Ltd
SHILPAMED,Shilpa Medicare Ltd
SHIVALIK,Shivalik Rasayan Ltd
SHIVAMAUTO,Shivam Autotech Ltd
SHIVAMILLS,Shiva Mills Ltd
SHIVATEX,Shiva Texyarn Ltd
SHIVAUM,Shiv Aum Steels Ltd
SHK,S H Kelkar And Company Ltd
SHOPERSTOP,Shoppers Stop Ltd
SHRADHA,Shradha Infraprojects Ltd
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SHREECEM,Shree Cement Ltd
SHREEJISPG,Shreeji Shipping Global Ltd
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd
SHREERAMA,Shree Rama Multi-Tech Ltd
SHRENIK,Shrenik Ltd
SHREYANIND,Shreyans Industries Ltd
SHRINGARMS,Shringar House Of Mangalsutra Ltd
SHRIPISTON,Shriram Pistons & Rings Ltd
SHRIRAMFIN,Shriram Finance Ltd
SHRIRAMPPS,Shriram Properties Ltd
SHYAMCENT,Shyam Century Ferrous Ltd
SHYAMMETL,Shyam Metalics And Energy Ltd
SHYAMTEL,Shyam Telecom Ltd
SICALLOG,Sical Logistics Ltd
SIEMENS,Siemens Ltd
SIGACHI,Sigachi Industries Ltd
SIGIND,Signet Industries Ltd
SIGMA,Sigma Solve Ltd
SIGNATURE,Signatureglobal (India) Ltd
SIGNPOST,Signpost India Ltd
SIKKO,Sikko Industries Ltd
SIL,Standard Industries Ltd
SILGO,Silgo Retail Ltd
SILGO-RE1,Silgo Retail Ltd-Re
SILINV,Sil Investments Ltd
SILLYMONKS,Silly Monks Entertainment Ltd
SILVERTUC,Silver Touch Technologies Ltd
SIMBHALS,Simbhaoli Sugars Ltd
SIMPLEXINF,Simplex Infrastructures Ltd
SINCLAIR,Sinclairs Hotels Ltd
SINDHUTRAD,Sindhu Trade Links Ltd
SINTERCOM,Sintercom India Ltd
SIRCA,Sirca Paints India Ltd
SIS,Sis Ltd
SITINET,Siti Networks Ltd
SIYSIL,Siyaram Silk Mills Ltd
SJS,S.J.S. Enterprises Ltd
SJVN,Sjvn Ltd
SKFINDIA,Skf India Ltd
SKFINDUS,Skf India (Industrial) Ltd
SKIPPER,Skipper Ltd
SKMEGGPROD,Skm Egg Products Export (India) Ltd
SKYGOLD,Sky Gold And Diamonds Ltd
SMARTLINK,Smartlink Holdings Ltd
SMARTWORKS,Smartworks Coworking Spaces Ltd
SMCGLOBAL,Smc Global Securities Ltd
SMLMAH,Sml Mahindra Ltd
SMLT,Sarthak Metals Ltd
SMSPHARMA,Sms Pharmaceuticals Ltd
SNOWMAN,Snowman Logistics Ltd
SOBHA,Sobha Ltd
SOFTTECH,Softtech Engineers Ltd
SOLARA,Solara Active Pharma Sciences Ltd
SOLARINDS,Solar Industries India Ltd
SOLARWORLD,Solarworld Energy Solutions Ltd
SOLEX,Solex Energy Ltd
SOMANYCERA,Somany Ceramics Ltd
SOMATEX,Soma Textiles & Industries Ltd
SOMICONVEY,Somi Conveyor Beltings Ltd
SONACOMS,Sona Blw Precision Forgings Ltd
SONAMLTD,Sonam Ltd
SONATSOFTW,Sonata Software Ltd
SOTL,Savita Oil Technologies Ltd
SOUTHBANK,The South Indian Bank Ltd
SOUTHWEST,South West Pinnacle Exploration Ltd
SPAL,S. P. Apparels Ltd
SPANDANA,Spandana Sphoorty Financial Ltd
SPARC,Sun Pharma Advanced Research Company Ltd
SPCENET,Spacenet Enterprises India Ltd
SPECIALITY,Speciality Restaurants Ltd
SPECTRUM,Spectrum Electrical Industries Ltd
SPENCERS,Spencer'S Retail Ltd
SPIC,Southern Petrochemicals Industries Corporation  Ltd
SPLIL,Spl Industries Ltd
SPLPETRO,Supreme Petrochem Ltd
SPMLINFRA,Spml Infra Ltd
SPORTKING,Sportking India Ltd
SRD,Shankar Lal Rampal Dye-Chem Ltd
SREEL,Sreeleathers Ltd
SRF,Srf Ltd
SRGHFL,Srg Housing Finance Ltd
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd
SRM,Srm Contractors Ltd
SSDL,Saraswati Saree Depot Ltd
SSWL,Steel Strips Wheels Ltd
STALLION,Stallion India Fluorochemicals Ltd
STANLEY,Stanley Lifestyles Ltd
STAR,Strides Pharma Science Ltd
STARCEMENT,Star Cement Ltd
STARHEALTH,Star Health And Allied Insurance Company Ltd
STARPAPER,Star Paper Mills Ltd
STARTECK,Starteck Finance Ltd
STCINDIA,The State Trading Corporation Of India Ltd
STEELCAS,Steelcast Ltd
STEELCITY,Steel City Securities Ltd
STEELXIND,Steel Exchange India Ltd
STEL,Stel Holdings Ltd
STERTOOLS,Sterling Tools Ltd
STLNETWORK,Stl Networks Ltd
STLTECH,Sterlite Technologies Ltd
STOVEKRAFT,Stove Kraft Ltd
STUDDS,Studds Accessories Ltd
STYL,Seshaasai Technologies Ltd
STYLAMIND,Stylam Industries Ltd
STYLEBAAZA,Baazar Style Retail Ltd
STYRENIX,Styrenix Performance Materials Ltd
SUBEXLTD,Subex Ltd
SUBROS,Subros Ltd
SUDARCOLOR,Sudarshan Colorants India Ltd
SUDARSCHEM,Sudarshan Chemical Industries Ltd
SUDEEPPHRM,Sudeep Pharma Ltd
SUKHJITS,Sukhjit Starch & Chemicals Ltd
SULA,Sula Vineyards Ltd
SUMEETINDS,Sumeet Industries Ltd
SUMICHEM,Sumitomo Chemical India Ltd
SUMIT,Sumit Woods Ltd
SUMMITSEC,Summit Securities Ltd
SUNCLAY,Sundaram Clayton Ltd
SUNDARAM,Sundaram Multi Pap Ltd
SUNDARMFIN,Sundaram Finance Ltd
SUNDRMBRAK,Sundaram Brake Linings Ltd
SUNDRMFAST,Sundram Fasteners Ltd
SUNDROP,Sundrop Brands Ltd
SUNFLAG,Sunflag Iron And Steel Company Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
SUNTECK,Sunteck Realty Ltd
SUNTV,Sun Tv Network Ltd
SUPERHOUSE,Superhouse Ltd
SUPERSPIN,Super Spinning Mills Ltd
SUPRAJIT,Suprajit Engineering Ltd
SUPREME,Supreme Holdings & Hospitality (India) Ltd
SUPREMEIND,Supreme Industries Ltd
SUPREMEINF,Supreme Infrastructure India Ltd
SUPRIYA,Supriya Lifescience Ltd
SURAJEST,Suraj Estate Developers Ltd
SURAJLTD,Suraj Ltd
SURAKSHA,Suraksha Diagnostic Ltd
SURANASOL,Surana Solar Ltd
SURANAT&P,Surana Telecom And Power Ltd
SURYALAXMI,Suryalakshmi Cotton Mills Ltd
SURYAROSNI,Surya Roshni Ltd
SURYODAY,Suryoday Small Finance Bank Ltd
SUTLEJTEX,Sutlej Textiles And Industries Ltd
SUVEN,Suven Life Sciences Ltd
SUVIDHAA,Suvidhaa Infoserve Ltd
SUYOG,Suyog Telematics Ltd
SUZLON,Suzlon Energy Ltd
SVLL,Shree Vasu Logistics Ltd
SVPGLOB,Svp Global Textiles Ltd
SWANCORP,Swan Corp Ltd
SWARAJENG,Swaraj Engines Ltd
SWELECTES,Swelect Energy Systems Ltd
SWIGGY,Swiggy Ltd
SWSOLAR,Sterling And Wilson Renewable Energy Ltd
SYMPHONY,Symphony Ltd
SYNCOMF,Syncom Formulations (India) Ltd
SYNGENE,Syngene International Ltd
SYRMA,Syrma Sgs Technology Ltd
SYSTMTXC,Systematix Corporate Services Ltd
TAINWALCHM,Tainwala Chemical And Plastic (I) Ltd
TAJGVK,Taj Gvk Hotels & Resorts Ltd
TAKE,Take Solutions Ltd
TALBROAUTO,Talbros Automotive Components Ltd
TANLA,Tanla Platforms Ltd
TARACHAND,Tara Chand Infralogistic Solutions Ltd
TARAPUR,Tarapur Transformers Ltd
TARC,Tarc Ltd
TARIL,Transformers And Rectifiers (India) Ltd
TARMAT,Tarmat Ltd
TARSONS,Tarsons Products Ltd
TASTYBITE,Tasty Bite Eatables Ltd
TATACAP,Tata Capital Ltd
TATACHEM,Tata Chemicals Ltd
TATACOMM,Tata Communications Ltd
TATACONSUM,Tata Consumer Products Ltd
TATAELXSI,Tata Elxsi Ltd
TATAINVEST,Tata Investment Corporation Ltd
TATAPOWER,Tata Power Company Ltd
TATASTEEL,Tata Steel Ltd
TATATECH,Tata Technologies Ltd
TATVA,Tatva Chintan Pharma Chem Ltd
TBOTEK,Tbo Tek Ltd
TBZ,Tribhovandas Bhimji Zaveri Ltd
TCI,Transport Corporation Of India Ltd
TCIEXP,Tci Express Ltd
TCIFINANCE,Tci Finance Ltd
TCPLPACK,Tcpl Packaging Ltd
